environment,company_id,month,transaction_count,transaction_volume_usd,top5_customer_concentration_pct,anomaly_flag
Stable Market,OXC-005,2025-02-01,856,196732.0,0.37,1
Stable Market,OXC-005,2025-03-01,462,200566.0,0.42,0
Stable Market,OXC-005,2025-04-01,625,189063.0,0.21,0
Stable Market,OXC-005,2025-05-01,446,186971.0,0.2,0
Stable Market,OXC-005,2025-06-01,777,197286.0,0.59,0
Stable Market,OXC-005,2025-07-01,930,168513.0,0.66,1
Stable Market,OXC-005,2025-08-01,547,162793.0,0.9,0
Stable Market,OXC-005,2025-09-01,740,132521.0,0.96,1
Stable Market,OXC-005,2025-10-01,648,107948.0,0.96,0
Stable Market,OXC-005,2025-11-01,474,76818.0,0.96,0
Stable Market,OXC-005,2025-12-01,194,55633.0,0.96,1
Stable Market,OXC-005,2026-01-01,131,39795.0,0.96,1
Stable Market,OXC-005,2026-02-01,66,19318.0,0.96,0
Stable Market,OXC-005,2026-03-01,64,10177.0,0.96,0
Stable Market,OXC-005,2026-04-01,24,4268.0,0.96,1
Stable Market,OXC-005,2026-05-01,11,2980.0,0.96,1
Stable Market,OXC-005,2026-06-01,7,3067.0,0.96,1
Stable Market,OXC-005,2026-07-01,12,3133.0,0.96,1
Stable Market,OXC-006,2024-08-01,908,127958.0,0.25,0
Stable Market,OXC-006,2024-09-01,570,129804.0,0.41,0
Stable Market,OXC-006,2024-10-01,328,123802.0,0.36,0
Stable Market,OXC-006,2024-11-01,470,132262.0,0.34,0
Stable Market,OXC-006,2024-12-01,719,136368.0,0.43,0
Stable Market,OXC-006,2025-01-01,375,140559.0,0.38,0
Stable Market,OXC-006,2025-02-01,371,144704.0,0.47,0
Stable Market,OXC-006,2025-03-01,728,133416.0,0.33,0
Stable Market,OXC-006,2025-04-01,605,140327.0,0.46,0
Stable Market,OXC-006,2025-05-01,394,143664.0,0.3,0
Stable Market,OXC-006,2025-06-01,365,130026.0,0.25,0
Stable Market,OXC-006,2025-07-01,782,117196.0,0.2,0
Stable Market,OXC-006,2025-08-01,526,103310.0,0.41,0
Stable Market,OXC-006,2025-09-01,316,113474.0,0.39,0
Stable Market,OXC-006,2025-10-01,354,108220.0,0.22,0
Stable Market,OXC-006,2025-11-01,606,122108.0,0.4,0
Stable Market,OXC-006,2025-12-01,405,119403.0,0.25,0
Stable Market,OXC-006,2026-01-01,619,122084.0,0.23,0
Stable Market,OXC-006,2026-02-01,572,119220.0,0.41,0
Stable Market,OXC-006,2026-03-01,454,131054.0,0.28,0
Stable Market,OXC-006,2026-04-01,293,119873.0,0.37,0
Stable Market,OXC-006,2026-05-01,305,131064.0,0.28,0
Stable Market,OXC-006,2026-06-01,329,116933.0,0.34,0
Stable Market,OXC-006,2026-07-01,711,133861.0,0.26,0
Stable Market,OXC-007,2024-08-01,299,66559.0,0.28,0
Stable Market,OXC-007,2024-09-01,173,64066.0,0.4,1
Stable Market,OXC-007,2024-10-01,264,67044.0,0.48,0
Stable Market,OXC-007,2024-11-01,216,65076.0,0.45,0
Stable Market,OXC-007,2024-12-01,364,70232.0,0.24,0
Stable Market,OXC-007,2025-01-01,223,69587.0,0.28,0
Stable Market,OXC-007,2025-02-01,160,68735.0,0.26,0
Stable Market,OXC-007,2025-03-01,198,72038.0,0.42,0
Stable Market,OXC-007,2025-04-01,255,66069.0,0.38,1
Stable Market,OXC-007,2025-05-01,464,76982.0,0.41,0
Stable Market,OXC-007,2025-06-01,302,72614.0,0.21,0
Stable Market,OXC-007,2025-07-01,240,73145.0,0.35,0
Stable Market,OXC-007,2025-08-01,217,83164.0,0.26,0
Stable Market,OXC-007,2025-09-01,349,73979.0,0.31,0
Stable Market,OXC-007,2025-10-01,578,83919.0,0.41,0
Stable Market,OXC-007,2025-11-01,224,78513.0,0.25,0
Stable Market,OXC-007,2025-12-01,502,91421.0,0.35,0
Stable Market,OXC-007,2026-01-01,480,79217.0,0.3,0
Stable Market,OXC-007,2026-02-01,397,84213.0,0.3,0
Stable Market,OXC-007,2026-03-01,451,78091.0,0.26,0
Stable Market,OXC-007,2026-04-01,313,84186.0,0.35,0
Stable Market,OXC-007,2026-05-01,320,78225.0,0.32,0
Stable Market,OXC-007,2026-06-01,519,81227.0,0.28,0
Stable Market,OXC-007,2026-07-01,190,76631.0,0.49,0
Stable Market,OXC-008,2024-08-01,588,195298.0,0.4,0
Stable Market,OXC-008,2024-09-01,712,206506.0,0.22,0
Stable Market,OXC-008,2024-10-01,1011,197989.0,0.25,0
Stable Market,OXC-008,2024-11-01,818,195597.0,0.37,0
Stable Market,OXC-008,2024-12-01,546,211395.0,0.41,0
Stable Market,OXC-008,2025-01-01,801,188149.0,0.41,0
Stable Market,OXC-008,2025-02-01,645,204654.0,0.39,0
Stable Market,OXC-008,2025-03-01,632,214649.0,0.37,0
Stable Market,OXC-008,2025-04-01,712,211234.0,0.21,0
Stable Market,OXC-008,2025-05-01,689,215747.0,0.25,0
Stable Market,OXC-008,2025-06-01,645,178577.0,0.36,0
Stable Market,OXC-008,2025-07-01,1412,211299.0,0.29,0
Stable Market,OXC-008,2025-08-01,1268,239096.0,0.39,0
Stable Market,OXC-008,2025-09-01,711,224292.0,0.27,0
Stable Market,OXC-008,2025-10-01,780,237905.0,0.18,0
Stable Market,OXC-008,2025-11-01,875,243240.0,0.36,0
Stable Market,OXC-008,2025-12-01,1155,254871.0,0.35,0
Stable Market,OXC-008,2026-01-01,738,250445.0,0.26,0
Stable Market,OXC-008,2026-02-01,668,278871.0,0.26,0
Stable Market,OXC-008,2026-03-01,845,252511.0,0.33,0
Stable Market,OXC-008,2026-04-01,925,271944.0,0.45,0
Stable Market,OXC-008,2026-05-01,1317,273422.0,0.29,0
Stable Market,OXC-008,2026-06-01,674,256064.0,0.25,0
Stable Market,OXC-008,2026-07-01,829,271482.0,0.28,0
Stable Market,OXC-009,2024-08-01,637,156116.0,0.32,0
Stable Market,OXC-009,2024-09-01,638,170338.0,0.36,0
Stable Market,OXC-009,2024-10-01,542,182588.0,0.35,0
Stable Market,OXC-009,2024-11-01,731,182105.0,0.25,0
Stable Market,OXC-009,2024-12-01,551,175803.0,0.7,1
Stable Market,OXC-009,2025-01-01,880,162488.0,0.63,1
Stable Market,OXC-009,2025-02-01,378,132186.0,0.96,0
Stable Market,OXC-009,2025-03-01,400,117254.0,0.96,1
Stable Market,OXC-009,2025-04-01,447,83644.0,0.96,1
Stable Market,OXC-009,2025-05-01,195,64402.0,0.96,0
Stable Market,OXC-009,2025-06-01,240,42251.0,0.96,1
Stable Market,OXC-009,2025-07-01,85,26962.0,0.96,1
Stable Market,OXC-009,2025-08-01,49,18307.0,0.96,1
Stable Market,OXC-009,2025-09-01,29,9871.0,0.96,1
Stable Market,OXC-009,2025-10-01,14,5113.0,0.96,1
Stable Market,OXC-009,2025-11-01,8,3152.0,0.96,1
Stable Market,OXC-009,2025-12-01,13,2968.0,0.96,0
Stable Market,OXC-009,2026-01-01,8,3057.0,0.96,1
Stable Market,OXC-009,2026-02-01,17,3099.0,0.96,0
Stable Market,OXC-009,2026-03-01,21,3015.0,0.96,1
Stable Market,OXC-009,2026-04-01,7,2960.0,0.96,1
Stable Market,OXC-009,2026-05-01,16,2734.0,0.96,1
Stable Market,OXC-009,2026-06-01,7,2952.0,0.96,1
Stable Market,OXC-009,2026-07-01,7,3004.0,0.96,1
Stable Market,OXC-010,2024-08-01,577,126905.0,0.32,0
Stable Market,OXC-010,2024-09-01,429,117148.0,0.34,0
Stable Market,OXC-010,2024-10-01,502,143443.0,0.36,0
Stable Market,OXC-010,2024-11-01,337,138803.0,0.4,0
Stable Market,OXC-010,2024-12-01,778,123277.0,0.34,1
Stable Market,OXC-010,2025-01-01,639,119638.0,0.34,0
Stable Market,OXC-010,2025-02-01,850,127154.0,0.4,0
Stable Market,OXC-010,2025-03-01,301,107128.0,0.41,0
Stable Market,OXC-010,2025-04-01,403,104906.0,0.3,0
Stable Market,OXC-010,2025-05-01,549,111486.0,0.4,0
Stable Market,OXC-010,2025-06-01,733,111287.0,0.22,0
Stable Market,OXC-010,2025-07-01,295,110051.0,0.33,0
Stable Market,OXC-010,2025-08-01,343,124429.0,0.25,0
Stable Market,OXC-010,2025-09-01,389,121449.0,0.27,0
Stable Market,OXC-010,2025-10-01,415,113283.0,0.32,0
Stable Market,OXC-010,2025-11-01,811,116088.0,0.18,0
Stable Market,OXC-010,2025-12-01,438,130444.0,0.16,0
Stable Market,OXC-010,2026-01-01,899,125998.0,0.31,0
Stable Market,OXC-010,2026-02-01,470,106337.0,0.43,0
Stable Market,OXC-010,2026-03-01,461,114858.0,0.27,1
Stable Market,OXC-010,2026-04-01,512,137904.0,0.43,0
Stable Market,OXC-010,2026-05-01,802,122332.0,0.28,0
Stable Market,OXC-010,2026-06-01,281,111086.0,0.42,0
Stable Market,OXC-010,2026-07-01,356,126835.0,0.44,1
Stable Market,OXC-011,2024-08-01,503,151803.0,0.37,0
Stable Market,OXC-011,2024-09-01,887,150615.0,0.48,0
Stable Market,OXC-011,2024-10-01,307,123651.0,0.33,0
Stable Market,OXC-011,2024-11-01,314,119603.0,0.42,1
Stable Market,OXC-011,2024-12-01,777,111649.0,0.26,0
Stable Market,OXC-011,2025-01-01,664,110082.0,0.43,1
Stable Market,OXC-011,2025-02-01,867,121338.0,0.35,0
Stable Market,OXC-011,2025-03-01,327,119831.0,0.31,0
Stable Market,OXC-011,2025-04-01,923,135486.0,0.39,0
Stable Market,OXC-011,2025-05-01,756,136707.0,0.27,0
Stable Market,OXC-011,2025-06-01,789,115154.0,0.3,0
Stable Market,OXC-011,2025-07-01,497,124187.0,0.23,0
Stable Market,OXC-011,2025-08-01,571,125541.0,0.39,0
Stable Market,OXC-011,2025-09-01,507,128969.0,0.25,1
Stable Market,OXC-011,2025-10-01,445,128200.0,0.36,0
Stable Market,OXC-011,2025-11-01,429,146441.0,0.37,0
Stable Market,OXC-011,2025-12-01,605,140183.0,0.39,0
Stable Market,OXC-011,2026-01-01,679,144958.0,0.43,0
Stable Market,OXC-011,2026-02-01,408,135066.0,0.13,0
Stable Market,OXC-011,2026-03-01,921,148061.0,0.36,0
Stable Market,OXC-011,2026-04-01,629,123964.0,0.38,0
Stable Market,OXC-011,2026-05-01,356,145403.0,0.19,0
Stable Market,OXC-011,2026-06-01,489,141264.0,0.26,0
Stable Market,OXC-011,2026-07-01,353,137181.0,0.33,0
Stable Market,OXC-012,2024-08-01,930,154592.0,0.32,0
Stable Market,OXC-012,2024-09-01,400,140073.0,0.41,0
Stable Market,OXC-012,2024-10-01,476,164721.0,0.4,0
Stable Market,OXC-012,2024-11-01,445,174507.0,0.26,0
Stable Market,OXC-012,2024-12-01,456,158902.0,0.35,0
Stable Market,OXC-012,2025-01-01,617,157735.0,0.4,0
Stable Market,OXC-012,2025-02-01,944,158332.0,0.23,0
Stable Market,OXC-012,2025-03-01,685,184621.0,0.2,0
Stable Market,OXC-012,2025-04-01,402,165267.0,0.42,0
Stable Market,OXC-012,2025-05-01,769,164308.0,0.28,0
Stable Market,OXC-012,2025-06-01,433,189524.0,0.28,0
Stable Market,OXC-012,2025-07-01,762,168717.0,0.37,0
Stable Market,OXC-012,2025-08-01,446,160545.0,0.25,0
Stable Market,OXC-012,2025-09-01,468,165631.0,0.37,0
Stable Market,OXC-012,2025-10-01,954,184492.0,0.39,0
Stable Market,OXC-012,2025-11-01,503,169964.0,0.31,0
Stable Market,OXC-012,2025-12-01,603,149148.0,0.26,0
Stable Market,OXC-012,2026-01-01,650,141258.0,0.24,0
Stable Market,OXC-012,2026-02-01,500,170011.0,0.34,0
Stable Market,OXC-012,2026-03-01,440,155930.0,0.44,0
Stable Market,OXC-012,2026-04-01,518,166092.0,0.37,1
Stable Market,OXC-012,2026-05-01,883,168447.0,0.43,0
Stable Market,OXC-012,2026-06-01,637,176902.0,0.46,0
Stable Market,OXC-012,2026-07-01,439,173138.0,0.3,0
Stable Market,OXC-013,2024-08-01,517,132105.0,0.41,0
Stable Market,OXC-013,2024-09-01,542,147527.0,0.36,0
Stable Market,OXC-013,2024-10-01,374,163457.0,0.4,0
Stable Market,OXC-013,2024-11-01,452,153298.0,0.45,0
Stable Market,OXC-013,2024-12-01,735,136769.0,0.36,0
Stable Market,OXC-013,2025-01-01,607,150073.0,0.43,0
Stable Market,OXC-013,2025-02-01,435,156681.0,0.4,0
Stable Market,OXC-013,2025-03-01,372,150341.0,0.41,0
Stable Market,OXC-013,2025-04-01,589,166947.0,0.37,0
Stable Market,OXC-013,2025-05-01,405,157269.0,0.36,0
Stable Market,OXC-013,2025-06-01,563,170223.0,0.22,0
Stable Market,OXC-013,2025-07-01,573,153555.0,0.49,0
Stable Market,OXC-013,2025-08-01,433,137160.0,0.3,1
Stable Market,OXC-013,2025-09-01,402,163926.0,0.4,1
Stable Market,OXC-013,2025-10-01,1052,158579.0,0.3,0
Stable Market,OXC-013,2025-11-01,504,165563.0,0.27,1
Stable Market,OXC-013,2025-12-01,695,169139.0,0.35,0
Stable Market,OXC-013,2026-01-01,377,133685.0,0.32,0
Stable Market,OXC-013,2026-02-01,379,144837.0,0.25,0
Stable Market,OXC-013,2026-03-01,675,144225.0,0.42,0
Stable Market,OXC-013,2026-04-01,364,160259.0,0.29,0
Stable Market,OXC-013,2026-05-01,406,142861.0,0.38,0
Stable Market,OXC-013,2026-06-01,561,134901.0,0.43,0
Stable Market,OXC-013,2026-07-01,352,123527.0,0.33,0
Stable Market,OXC-014,2024-08-01,423,146936.0,0.33,0
Stable Market,OXC-014,2024-09-01,393,165638.0,0.23,0
Stable Market,OXC-014,2024-10-01,721,148811.0,0.36,0
Stable Market,OXC-014,2024-11-01,454,149196.0,0.31,0
Stable Market,OXC-014,2024-12-01,970,140396.0,0.22,0
Stable Market,OXC-014,2025-01-01,916,154152.0,0.3,0
Stable Market,OXC-014,2025-02-01,356,138029.0,0.31,0
Stable Market,OXC-014,2025-03-01,961,155019.0,0.31,0
Stable Market,OXC-014,2025-04-01,752,139035.0,0.48,0
Stable Market,OXC-014,2025-05-01,445,147229.0,0.23,0
Stable Market,OXC-014,2025-06-01,681,130823.0,0.32,0
Stable Market,OXC-014,2025-07-01,389,161304.0,0.25,0
Stable Market,OXC-014,2025-08-01,943,132245.0,0.24,0
Stable Market,OXC-014,2025-09-01,950,152900.0,0.27,0
Stable Market,OXC-014,2025-10-01,484,166391.0,0.3,0
Stable Market,OXC-014,2025-11-01,666,176707.0,0.35,0
Stable Market,OXC-014,2025-12-01,944,169251.0,0.2,0
Stable Market,OXC-014,2026-01-01,843,191921.0,0.29,0
Stable Market,OXC-014,2026-02-01,689,197681.0,0.3,0
Stable Market,OXC-014,2026-03-01,1230,208768.0,0.45,0
Stable Market,OXC-014,2026-04-01,474,177436.0,0.44,0
Stable Market,OXC-014,2026-05-01,481,182257.0,0.36,0
Stable Market,OXC-014,2026-06-01,522,186864.0,0.46,0
Stable Market,OXC-014,2026-07-01,508,178752.0,0.28,0
Stable Market,OXC-015,2024-08-01,413,89923.0,0.39,0
Stable Market,OXC-015,2024-09-01,267,92465.0,0.33,0
Stable Market,OXC-015,2024-10-01,366,87596.0,0.3,0
Stable Market,OXC-015,2024-11-01,427,87641.0,0.38,0
Stable Market,OXC-015,2024-12-01,384,89406.0,0.22,1
Stable Market,OXC-015,2025-01-01,413,93085.0,0.33,0
Stable Market,OXC-015,2025-02-01,342,89108.0,0.37,0
Stable Market,OXC-015,2025-03-01,465,85009.0,0.33,0
Stable Market,OXC-015,2025-04-01,439,92447.0,0.25,0
Stable Market,OXC-015,2025-05-01,232,79821.0,0.28,0
Stable Market,OXC-015,2025-06-01,263,69094.0,0.19,0
Stable Market,OXC-015,2025-07-01,363,77390.0,0.35,0
Stable Market,OXC-015,2025-08-01,432,83951.0,0.4,0
Stable Market,OXC-015,2025-09-01,230,74177.0,0.22,1
Stable Market,OXC-015,2025-10-01,212,79182.0,0.41,0
Stable Market,OXC-015,2025-11-01,358,80114.0,0.47,1
Stable Market,OXC-015,2025-12-01,393,74772.0,0.38,0
Stable Market,OXC-015,2026-01-01,190,65694.0,0.61,0
Stable Market,OXC-015,2026-02-01,159,62681.0,0.7,1
Stable Market,OXC-015,2026-03-01,372,53137.0,0.67,1
Stable Market,OXC-015,2026-04-01,166,66499.0,0.47,0
Stable Market,OXC-015,2026-05-01,158,62162.0,0.3,0
Stable Market,OXC-015,2026-06-01,159,60047.0,0.21,0
Stable Market,OXC-015,2026-07-01,235,64358.0,0.38,0
Realistic Baseline,OXC-001,2024-08-01,722,142772.0,0.26,0
Realistic Baseline,OXC-001,2024-09-01,798,104552.0,0.14,0
Realistic Baseline,OXC-001,2024-10-01,300,155992.0,0.21,0
Realistic Baseline,OXC-001,2024-11-01,746,134902.0,0.23,1
Realistic Baseline,OXC-001,2024-12-01,538,142679.0,0.24,0
Realistic Baseline,OXC-001,2025-01-01,455,92715.0,0.28,0
Realistic Baseline,OXC-001,2025-02-01,432,123108.0,0.3,0
Realistic Baseline,OXC-001,2025-03-01,662,131253.0,0.57,0
Realistic Baseline,OXC-001,2025-04-01,321,121194.0,0.73,0
Realistic Baseline,OXC-001,2025-05-01,273,87055.0,0.96,0
Realistic Baseline,OXC-001,2025-06-01,231,105516.0,0.96,1
Realistic Baseline,OXC-001,2025-07-01,278,94455.0,0.96,0
Realistic Baseline,OXC-001,2025-08-01,174,54030.0,0.96,0
Realistic Baseline,OXC-001,2025-09-01,113,39113.0,0.96,0
Realistic Baseline,OXC-001,2025-10-01,149,20766.0,0.96,1
Realistic Baseline,OXC-001,2025-11-01,135,20469.0,0.96,0
Realistic Baseline,OXC-001,2025-12-01,44,11368.0,0.96,0
Realistic Baseline,OXC-001,2026-01-01,47,7122.0,0.96,1
Realistic Baseline,OXC-001,2026-02-01,25,5849.0,0.96,1
Realistic Baseline,OXC-001,2026-03-01,8,3182.0,0.96,1
Realistic Baseline,OXC-001,2026-04-01,16,3222.0,0.96,1
Realistic Baseline,OXC-001,2026-05-01,10,2884.0,0.96,0
Realistic Baseline,OXC-001,2026-06-01,10,3179.0,0.96,0
Realistic Baseline,OXC-001,2026-07-01,14,2907.0,0.96,0
Realistic Baseline,OXC-002,2024-08-01,1330,235250.0,0.3,0
Realistic Baseline,OXC-002,2024-09-01,660,188469.0,0.5,0
Realistic Baseline,OXC-002,2024-10-01,1210,175401.0,0.4,0
Realistic Baseline,OXC-002,2024-11-01,1419,188424.0,0.38,0
Realistic Baseline,OXC-002,2024-12-01,442,154828.0,0.4,0
Realistic Baseline,OXC-002,2025-01-01,874,226930.0,0.32,0
Realistic Baseline,OXC-002,2025-02-01,507,193063.0,0.4,0
Realistic Baseline,OXC-002,2025-03-01,711,183316.0,0.2,0
Realistic Baseline,OXC-002,2025-04-01,574,223094.0,0.29,0
Realistic Baseline,OXC-002,2025-05-01,517,209674.0,0.43,0
Realistic Baseline,OXC-002,2025-06-01,1288,211166.0,0.22,0
Realistic Baseline,OXC-002,2025-07-01,1360,256154.0,0.33,0
Realistic Baseline,OXC-002,2025-08-01,398,173982.0,0.41,0
Realistic Baseline,OXC-002,2025-09-01,608,169624.0,0.37,0
Realistic Baseline,OXC-002,2025-10-01,469,166476.0,0.4,0
Realistic Baseline,OXC-002,2025-11-01,439,190952.0,0.34,0
Realistic Baseline,OXC-002,2025-12-01,683,187595.0,0.39,0
Realistic Baseline,OXC-002,2026-01-01,631,128129.0,0.27,0
Realistic Baseline,OXC-002,2026-02-01,540,116889.0,0.24,0
Realistic Baseline,OXC-002,2026-03-01,455,141774.0,0.2,0
Realistic Baseline,OXC-002,2026-04-01,313,118317.0,0.22,0
Realistic Baseline,OXC-002,2026-05-01,292,120935.0,0.46,0
Realistic Baseline,OXC-002,2026-06-01,318,107006.0,0.29,0
Realistic Baseline,OXC-002,2026-07-01,274,95419.0,0.48,0
Realistic Baseline,OXC-003,2024-08-01,620,196845.0,0.39,0
Realistic Baseline,OXC-003,2024-09-01,732,188467.0,0.38,0
Realistic Baseline,OXC-003,2024-10-01,1240,169447.0,0.33,0
Realistic Baseline,OXC-003,2024-11-01,491,175160.0,0.37,0
Realistic Baseline,OXC-003,2024-12-01,920,222608.0,0.31,0
Realistic Baseline,OXC-003,2025-01-01,1113,199592.0,0.31,0
Realistic Baseline,OXC-003,2025-02-01,410,183670.0,0.48,0
Realistic Baseline,OXC-003,2025-03-01,392,178166.0,0.75,1
Realistic Baseline,OXC-003,2025-04-01,516,107425.0,0.78,0
Realistic Baseline,OXC-003,2025-05-01,308,111846.0,0.96,0
Realistic Baseline,OXC-003,2025-06-01,240,109053.0,0.94,0
Realistic Baseline,OXC-003,2025-07-01,221,82045.0,0.96,0
Realistic Baseline,OXC-003,2025-08-01,259,49003.0,0.96,0
Realistic Baseline,OXC-003,2025-09-01,167,46620.0,0.96,1
Realistic Baseline,OXC-003,2025-10-01,197,39359.0,0.96,1
Realistic Baseline,OXC-003,2025-11-01,54,24559.0,0.96,1
Realistic Baseline,OXC-003,2025-12-01,42,18793.0,0.96,1
Realistic Baseline,OXC-003,2026-01-01,33,8592.0,0.96,0
Realistic Baseline,OXC-003,2026-02-01,27,5977.0,0.96,1
