environment,company_id,months_forward,simulated_cash_p10,simulated_cash_p50,simulated_cash_p90,probability_cash_negative
Realistic Baseline,OXC-001,5,127865.0,128039.0,128210.0,0.0
Realistic Baseline,OXC-001,6,127460.0,127642.0,127826.0,0.0
Realistic Baseline,OXC-002,1,245016.0,247521.0,250096.0,0.0
Realistic Baseline,OXC-002,2,245548.0,249117.0,252492.0,0.0
Realistic Baseline,OXC-002,3,246254.0,250579.0,254813.0,0.0
Realistic Baseline,OXC-002,4,247009.0,252079.0,256982.0,0.0
Realistic Baseline,OXC-002,5,247870.0,253613.0,259263.0,0.0
Realistic Baseline,OXC-002,6,248702.0,254585.0,261132.0,0.0
Realistic Baseline,OXC-003,1,127720.0,127802.0,127887.0,0.0
Realistic Baseline,OXC-003,2,127231.0,127351.0,127469.0,0.0
Realistic Baseline,OXC-003,3,126744.0,126911.0,127060.0,0.0
Realistic Baseline,OXC-003,4,126283.0,126468.0,126631.0,0.0
Realistic Baseline,OXC-003,5,125810.0,126016.0,126217.0,0.0
Realistic Baseline,OXC-003,6,125345.0,125557.0,125779.0,0.0
Realistic Baseline,OXC-004,1,240883.0,240955.0,241024.0,0.0
Realistic Baseline,OXC-004,2,240485.0,240584.0,240688.0,0.0
Realistic Baseline,OXC-004,3,240071.0,240214.0,240337.0,0.0
Realistic Baseline,OXC-004,4,239687.0,239837.0,239982.0,0.0
Realistic Baseline,OXC-004,5,239285.0,239455.0,239620.0,0.0
Realistic Baseline,OXC-004,6,238895.0,239085.0,239257.0,0.0
Realistic Baseline,OXC-005,1,409916.0,412488.0,414531.0,0.0
Realistic Baseline,OXC-005,2,417030.0,420408.0,423917.0,0.0
Realistic Baseline,OXC-005,3,424460.0,428380.0,432385.0,0.0
Realistic Baseline,OXC-005,4,431757.0,436530.0,441143.0,0.0
Realistic Baseline,OXC-005,5,439180.0,444388.0,449664.0,0.0
Realistic Baseline,OXC-005,6,446332.0,452116.0,457959.0,0.0
Realistic Baseline,OXC-006,1,147132.0,147201.0,147279.0,0.0
Realistic Baseline,OXC-006,2,146745.0,146850.0,146953.0,0.0
Realistic Baseline,OXC-006,3,146376.0,146490.0,146614.0,0.0
Realistic Baseline,OXC-006,4,146004.0,146138.0,146274.0,0.0
Realistic Baseline,OXC-006,5,145631.0,145791.0,145941.0,0.0
Realistic Baseline,OXC-006,6,145264.0,145445.0,145600.0,0.0
Realistic Baseline,OXC-007,1,-2993.0,1739.0,6418.0,0.32
Realistic Baseline,OXC-007,2,-3823.0,3337.0,8847.0,0.288
Realistic Baseline,OXC-007,3,-4269.0,3680.0,11543.0,0.27
Realistic Baseline,OXC-007,4,-4577.0,4600.0,14357.0,0.262
Realistic Baseline,OXC-007,5,-4224.0,6099.0,16965.0,0.218
Realistic Baseline,OXC-007,6,-4141.0,6910.0,18729.0,0.206
Realistic Baseline,OXC-008,1,355013.0,358490.0,362160.0,0.0
Realistic Baseline,OXC-008,2,362442.0,366891.0,372354.0,0.0
Realistic Baseline,OXC-008,3,370168.0,375372.0,381113.0,0.0
Realistic Baseline,OXC-008,4,377249.0,384033.0,390395.0,0.0
Realistic Baseline,OXC-008,5,385005.0,392578.0,399640.0,0.0
Realistic Baseline,OXC-008,6,392862.0,401214.0,408832.0,0.0
Realistic Baseline,OXC-009,1,205919.0,206510.0,207104.0,0.0
Realistic Baseline,OXC-009,2,203352.0,204265.0,205087.0,0.0
Realistic Baseline,OXC-009,3,200906.0,201868.0,202948.0,0.0
Realistic Baseline,OXC-009,4,198382.0,199567.0,200639.0,0.0
Realistic Baseline,OXC-009,5,195857.0,197260.0,198546.0,0.0
Realistic Baseline,OXC-009,6,193315.0,194932.0,196452.0,0.0
Realistic Baseline,OXC-010,1,122926.0,126124.0,129381.0,0.0
Realistic Baseline,OXC-010,2,122362.0,127627.0,131995.0,0.0
Realistic Baseline,OXC-010,3,123382.0,128664.0,133981.0,0.0
Realistic Baseline,OXC-010,4,122848.0,129917.0,136355.0,0.0
Realistic Baseline,OXC-010,5,123583.0,131139.0,138619.0,0.0
Realistic Baseline,OXC-010,6,124131.0,132452.0,140656.0,0.0
Realistic Baseline,OXC-011,1,91413.0,93856.0,95901.0,0.0
Realistic Baseline,OXC-011,2,93464.0,96573.0,99683.0,0.0
Realistic Baseline,OXC-011,3,95572.0,99104.0,102916.0,0.0
Realistic Baseline,OXC-011,4,97763.0,101931.0,105745.0,0.0
Realistic Baseline,OXC-011,5,100018.0,104495.0,109141.0,0.0
Realistic Baseline,OXC-011,6,102136.0,107139.0,112575.0,0.0
Realistic Baseline,OXC-012,1,78520.0,80973.0,83666.0,0.0
Realistic Baseline,OXC-012,2,77391.0,80749.0,84631.0,0.0
Realistic Baseline,OXC-012,3,76311.0,80725.0,85410.0,0.0
Realistic Baseline,OXC-012,4,75406.0,80506.0,86276.0,0.0
Realistic Baseline,OXC-012,5,74619.0,80462.0,86789.0,0.0
Realistic Baseline,OXC-012,6,73869.0,80511.0,86998.0,0.0
Realistic Baseline,OXC-013,1,429813.0,433485.0,436448.0,0.0
Realistic Baseline,OXC-013,2,437230.0,441863.0,446474.0,0.0
Realistic Baseline,OXC-013,3,444605.0,450921.0,456735.0,0.0
Realistic Baseline,OXC-013,4,452568.0,459441.0,466383.0,0.0
Realistic Baseline,OXC-013,5,460007.0,468156.0,475697.0,0.0
Realistic Baseline,OXC-013,6,468238.0,476918.0,485043.0,0.0
Realistic Baseline,OXC-014,1,95588.0,96869.0,98201.0,0.0
Realistic Baseline,OXC-014,2,96090.0,98090.0,100166.0,0.0
Realistic Baseline,OXC-014,3,96959.0,99225.0,101542.0,0.0
Realistic Baseline,OXC-014,4,97791.0,100526.0,103142.0,0.0
Realistic Baseline,OXC-014,5,98519.0,101660.0,104746.0,0.0
Realistic Baseline,OXC-014,6,99448.0,102713.0,106228.0,0.0
Realistic Baseline,OXC-015,1,308371.0,310392.0,312448.0,0.0
Realistic Baseline,OXC-015,2,310727.0,313997.0,317025.0,0.0
Realistic Baseline,OXC-015,3,313834.0,317773.0,321551.0,0.0
Realistic Baseline,OXC-015,4,317082.0,321550.0,325949.0,0.0
Realistic Baseline,OXC-015,5,320426.0,325178.0,330018.0,0.0
Realistic Baseline,OXC-015,6,323757.0,328746.0,334502.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-001,1,401503.0,412713.0,423176.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-001,2,407842.0,423196.0,439788.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-001,3,414328.0,433956.0,452215.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-001,4,422615.0,443763.0,468282.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-001,5,430391.0,454239.0,479781.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-001,6,439667.0,466288.0,493029.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-002,1,243631.0,245076.0,246469.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-002,2,245672.0,247687.0,249682.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-002,3,247562.0,250327.0,252931.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-002,4,250046.0,253045.0,255742.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-002,5,252383.0,255774.0,258971.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-002,6,254710.0,258349.0,261782.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-003,1,277590.0,284239.0,291527.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-003,2,284143.0,293298.0,303219.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-003,3,291325.0,302992.0,314777.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-003,4,298935.0,311902.0,327015.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-003,5,307050.0,321423.0,337771.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-003,6,314977.0,331288.0,347399.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-004,1,90520.0,91084.0,91663.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-004,2,89272.0,90098.0,90848.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-004,3,88211.0,89114.0,90051.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-004,4,87058.0,88097.0,89220.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-004,5,85872.0,87151.0,88335.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-004,6,84744.0,86130.0,87498.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-005,1,265995.0,269614.0,273183.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-005,2,269592.0,274517.0,280075.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-005,3,273274.0,279566.0,286546.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-005,4,276515.0,284302.0,292041.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-005,5,280667.0,289017.0,298200.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-005,6,284709.0,293920.0,303969.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-006,1,147550.0,147685.0,147825.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-006,2,147255.0,147451.0,147652.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-006,3,146989.0,147231.0,147480.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-006,4,146757.0,146998.0,147301.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-006,5,146506.0,146771.0,147102.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-006,6,146224.0,146537.0,146899.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-007,1,112400.0,112526.0,112656.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-007,2,112013.0,112199.0,112386.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-007,3,111665.0,111892.0,112108.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-007,4,111320.0,111576.0,111820.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-007,5,110983.0,111273.0,111526.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-007,6,110650.0,110933.0,111222.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-008,1,371357.0,374853.0,378628.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-008,2,376095.0,381265.0,385692.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-008,3,381542.0,387345.0,393443.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-008,4,386820.0,393946.0,401603.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-008,5,392456.0,400366.0,408958.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-008,6,398484.0,406713.0,415682.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-009,1,7038.0,9057.0,10918.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-009,2,3586.0,6295.0,8906.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-009,3,306.0,3571.0,6619.0,0.08
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-009,4,-2731.0,1033.0,4691.0,0.392
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-009,5,-5866.0,-1865.0,2390.0,0.684
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-009,6,-9346.0,-4421.0,-229.0,0.908
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-010,1,143003.0,143622.0,144282.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-010,2,141207.0,142050.0,142948.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-010,3,139426.0,140473.0,141536.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-010,4,137721.0,138879.0,140195.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-010,5,136029.0,137360.0,138886.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-010,6,134294.0,135776.0,137358.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-011,1,109286.0,109417.0,109546.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-011,2,108942.0,109124.0,109297.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-011,3,108602.0,108829.0,109057.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-011,4,108276.0,108531.0,108820.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-011,5,107931.0,108245.0,108559.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-011,6,107589.0,107940.0,108301.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-012,1,104094.0,109243.0,114202.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-012,2,101266.0,108045.0,115204.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-012,3,98544.0,106893.0,115869.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-012,4,95910.0,105671.0,115643.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-012,5,94129.0,104964.0,116245.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-012,6,90724.0,103798.0,115254.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-013,1,453943.0,468476.0,484966.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-013,2,470295.0,494894.0,517183.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-013,3,492311.0,519262.0,549189.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-013,4,510786.0,546299.0,577807.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-013,5,538770.0,572936.0,609308.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-013,6,561598.0,597431.0,638899.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-014,1,222252.0,223711.0,225096.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-014,2,221969.0,224032.0,226118.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-014,3,221853.0,224598.0,226914.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-014,4,222182.0,224952.0,227740.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-014,5,222320.0,225447.0,228402.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-014,6,222507.0,225836.0,229315.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-015,1,105070.0,105236.0,105418.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-015,2,104500.0,104771.0,105027.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-015,3,103974.0,104310.0,104633.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-015,4,103443.0,103842.0,104189.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-015,5,102949.0,103357.0,103751.0,0.0
"Stressed / Crisis (FX shock, drought, rate spike)",OXC-015,6,102469.0,102908.0,103329.0,0.0
