environment,month,country,fx_rate_local_per_usd,fx_volatility_pct_mom,inflation_rate_pct,input_price_index,central_bank_rate_pct
Stable Market,2025-05-01,Ghana,15.03,2.34,7.49,102.3,16.18
Stable Market,2025-06-01,Ghana,14.91,1.76,7.47,100.6,13.67
Stable Market,2025-07-01,Ghana,15.0,1.61,7.52,105.8,15.27
Stable Market,2025-08-01,Ghana,15.08,0.17,7.65,100.3,12.65
Stable Market,2025-09-01,Ghana,15.16,1.56,7.48,94.9,14.19
Stable Market,2025-10-01,Ghana,15.29,1.23,7.79,101.1,13.45
Stable Market,2025-11-01,Ghana,15.53,1.74,8.07,100.6,12.79
Stable Market,2025-12-01,Ghana,15.49,0.15,8.22,99.9,12.5
Stable Market,2026-01-01,Ghana,15.67,0.74,8.03,95.9,12.95
Stable Market,2026-02-01,Ghana,15.43,0.22,8.15,101.9,15.17
Stable Market,2026-03-01,Ghana,15.44,2.09,8.54,99.3,14.45
Stable Market,2026-04-01,Ghana,15.22,0.5,8.54,104.2,15.51
Stable Market,2026-05-01,Ghana,15.09,1.66,8.25,98.5,16.15
Stable Market,2026-06-01,Ghana,15.26,2.37,7.94,98.0,14.5
Stable Market,2026-07-01,Ghana,15.34,0.68,7.76,97.3,16.3
Stable Market,2024-08-01,Ethiopia,118.93,0.06,7.04,101.0,16.17
Stable Market,2024-09-01,Ethiopia,117.58,2.08,6.86,108.7,16.0
Stable Market,2024-10-01,Ethiopia,119.57,0.19,6.8,102.7,14.1
Stable Market,2024-11-01,Ethiopia,119.92,2.07,7.1,97.5,12.13
Stable Market,2024-12-01,Ethiopia,118.06,2.09,6.72,97.5,15.41
Stable Market,2025-01-01,Ethiopia,120.46,1.26,6.75,106.0,12.65
Stable Market,2025-02-01,Ethiopia,121.58,0.26,6.61,94.7,11.84
Stable Market,2025-03-01,Ethiopia,122.15,3.11,6.78,102.8,14.61
Stable Market,2025-04-01,Ethiopia,122.19,0.25,7.3,99.1,14.93
Stable Market,2025-05-01,Ethiopia,121.26,0.38,7.21,107.3,12.34
Stable Market,2025-06-01,Ethiopia,123.26,0.64,7.27,101.7,14.99
Stable Market,2025-07-01,Ethiopia,122.27,0.83,7.47,100.9,14.75
Stable Market,2025-08-01,Ethiopia,123.71,1.14,7.54,98.8,13.31
Stable Market,2025-09-01,Ethiopia,125.58,1.32,7.82,105.0,16.47
Stable Market,2025-10-01,Ethiopia,124.16,0.9,7.76,99.4,11.81
Stable Market,2025-11-01,Ethiopia,123.9,0.72,7.61,105.3,13.94
Stable Market,2025-12-01,Ethiopia,121.68,1.3,7.35,99.5,16.43
Stable Market,2026-01-01,Ethiopia,121.93,1.08,7.42,98.4,14.44
Stable Market,2026-02-01,Ethiopia,121.29,0.13,7.08,98.9,15.26
Stable Market,2026-03-01,Ethiopia,122.4,2.42,7.26,101.7,16.0
Stable Market,2026-04-01,Ethiopia,123.92,0.51,7.34,101.5,12.13
Stable Market,2026-05-01,Ethiopia,123.47,2.17,7.28,100.6,14.74
Stable Market,2026-06-01,Ethiopia,124.51,2.29,7.04,99.2,11.69
Stable Market,2026-07-01,Ethiopia,122.51,0.17,7.03,99.4,12.74
Realistic Baseline,2024-08-01,Kenya,127.51,1.72,8.21,112.8,14.0
Realistic Baseline,2024-09-01,Kenya,131.51,1.9,7.73,114.0,16.02
Realistic Baseline,2024-10-01,Kenya,133.01,1.72,7.74,109.4,13.97
Realistic Baseline,2024-11-01,Kenya,133.78,0.03,7.13,99.6,12.14
Realistic Baseline,2024-12-01,Kenya,136.2,0.89,7.35,99.7,13.55
Realistic Baseline,2025-01-01,Kenya,140.04,1.15,7.14,105.2,15.76
Realistic Baseline,2025-02-01,Kenya,135.48,2.33,6.96,97.8,12.77
Realistic Baseline,2025-03-01,Kenya,136.58,2.01,6.17,116.7,16.43
Realistic Baseline,2025-04-01,Kenya,140.68,2.81,5.78,103.6,13.02
Realistic Baseline,2025-05-01,Kenya,142.04,2.15,5.75,92.8,13.85
Realistic Baseline,2025-06-01,Kenya,145.51,0.09,6.06,101.1,13.13
Realistic Baseline,2025-07-01,Kenya,147.98,1.98,5.69,97.7,15.74
Realistic Baseline,2025-08-01,Kenya,147.81,0.85,5.41,96.8,16.41
Realistic Baseline,2025-09-01,Kenya,153.49,3.38,4.7,97.8,14.45
Realistic Baseline,2025-10-01,Kenya,159.72,2.12,5.15,104.6,14.36
Realistic Baseline,2025-11-01,Kenya,161.85,0.04,4.58,102.1,14.17
Realistic Baseline,2025-12-01,Kenya,163.68,0.09,4.54,103.1,16.04
Realistic Baseline,2026-01-01,Kenya,162.78,1.99,4.58,99.1,12.29
Realistic Baseline,2026-02-01,Kenya,159.56,0.96,4.15,109.8,12.22
Realistic Baseline,2026-03-01,Kenya,162.67,0.89,4.03,118.1,15.54
Realistic Baseline,2026-04-01,Kenya,157.58,2.42,4.33,97.7,11.82
Realistic Baseline,2026-05-01,Kenya,165.29,1.35,4.52,97.5,15.59
Realistic Baseline,2026-06-01,Kenya,160.46,0.84,4.35,88.5,12.64
Realistic Baseline,2026-07-01,Kenya,158.64,0.26,4.19,107.5,15.3
Realistic Baseline,2024-08-01,Uganda,3782.23,1.72,7.29,108.8,13.59
Realistic Baseline,2024-09-01,Uganda,3899.44,2.52,7.27,111.5,16.28
Realistic Baseline,2024-10-01,Uganda,3868.98,2.56,7.35,102.0,16.18
Realistic Baseline,2024-11-01,Uganda,3959.78,1.35,7.57,96.6,16.0
Realistic Baseline,2024-12-01,Uganda,3899.31,2.28,7.46,100.1,14.96
Realistic Baseline,2025-01-01,Uganda,3838.87,1.18,7.7,85.7,13.67
Realistic Baseline,2025-02-01,Uganda,3838.58,1.6,7.85,120.8,12.18
Realistic Baseline,2025-03-01,Uganda,3714.32,2.01,7.97,112.2,14.69
Realistic Baseline,2025-04-01,Uganda,3931.79,1.93,8.04,102.2,15.52
Realistic Baseline,2025-05-01,Uganda,4006.16,2.66,8.49,109.6,12.96
Realistic Baseline,2025-06-01,Uganda,3993.56,0.43,9.49,91.0,12.76
Realistic Baseline,2025-07-01,Uganda,3906.48,0.63,9.06,89.1,13.46
Realistic Baseline,2025-08-01,Uganda,3977.41,1.4,9.11,106.9,16.45
Realistic Baseline,2025-09-01,Uganda,3940.91,2.3,8.5,102.5,14.51
Realistic Baseline,2025-10-01,Uganda,3948.72,1.03,8.7,110.0,15.1
Realistic Baseline,2025-11-01,Uganda,3931.55,1.35,9.0,79.3,13.02
Realistic Baseline,2025-12-01,Uganda,3859.98,1.49,8.1,90.8,16.12
Realistic Baseline,2026-01-01,Uganda,3919.12,0.66,8.08,88.3,15.37
Realistic Baseline,2026-02-01,Uganda,4001.22,1.15,8.11,116.0,12.14
Realistic Baseline,2026-03-01,Uganda,4033.82,0.41,8.02,89.9,14.64
Realistic Baseline,2026-04-01,Uganda,4083.77,0.98,8.65,101.1,12.59
Realistic Baseline,2026-05-01,Uganda,3981.0,2.09,8.32,104.5,15.51
Realistic Baseline,2026-06-01,Uganda,3897.42,3.88,8.18,100.4,15.64
Realistic Baseline,2026-07-01,Uganda,3903.52,1.5,8.49,101.8,13.59
Realistic Baseline,2024-08-01,Ghana,15.7,1.34,9.43,91.2,13.6
Realistic Baseline,2024-09-01,Ghana,15.73,0.09,9.26,113.8,15.24
Realistic Baseline,2024-10-01,Ghana,15.77,0.81,9.6,96.5,12.2
Realistic Baseline,2024-11-01,Ghana,16.45,3.24,9.17,106.7,11.73
Realistic Baseline,2024-12-01,Ghana,16.51,2.64,9.89,101.3,14.77
Realistic Baseline,2025-01-01,Ghana,16.76,3.07,9.72,95.0,15.3
Realistic Baseline,2025-02-01,Ghana,17.03,3.17,9.33,108.6,12.91
Realistic Baseline,2025-03-01,Ghana,16.63,2.4,9.61,87.7,13.7
Realistic Baseline,2025-04-01,Ghana,16.33,0.92,9.37,89.6,12.0
Realistic Baseline,2025-05-01,Ghana,15.91,1.98,8.75,106.0,15.64
Realistic Baseline,2025-06-01,Ghana,15.89,1.69,9.23,90.4,13.04
Realistic Baseline,2025-07-01,Ghana,15.63,1.8,8.91,90.0,14.87
Realistic Baseline,2025-08-01,Ghana,15.81,1.03,9.0,98.8,11.72
Realistic Baseline,2025-09-01,Ghana,16.1,1.48,9.06,97.5,13.35
Realistic Baseline,2025-10-01,Ghana,16.06,1.34,8.97,105.9,13.83
Realistic Baseline,2025-11-01,Ghana,15.91,1.54,8.82,100.1,15.01
Realistic Baseline,2025-12-01,Ghana,16.01,3.92,9.05,90.4,12.7
Realistic Baseline,2026-01-01,Ghana,16.54,2.77,9.54,110.7,11.87
Realistic Baseline,2026-02-01,Ghana,16.43,2.58,9.77,93.5,13.21
Realistic Baseline,2026-03-01,Ghana,16.15,2.18,9.81,96.8,12.37
Realistic Baseline,2026-04-01,Ghana,15.78,1.43,9.97,90.9,15.18
Realistic Baseline,2026-05-01,Ghana,16.28,1.84,9.79,98.2,15.62
Realistic Baseline,2026-06-01,Ghana,16.77,1.03,9.7,96.4,12.33
Realistic Baseline,2026-07-01,Ghana,17.13,0.41,9.09,88.8,11.57
Realistic Baseline,2024-08-01,Ethiopia,117.84,1.81,8.87,99.6,15.54
Realistic Baseline,2024-09-01,Ethiopia,118.48,3.27,8.51,102.1,16.13
Realistic Baseline,2024-10-01,Ethiopia,119.45,0.77,8.53,100.3,13.01
Realistic Baseline,2024-11-01,Ethiopia,118.05,0.63,8.44,84.0,13.36
Realistic Baseline,2024-12-01,Ethiopia,118.01,1.92,8.62,101.0,11.84
Realistic Baseline,2025-01-01,Ethiopia,120.25,0.85,8.68,105.0,15.5
Realistic Baseline,2025-02-01,Ethiopia,119.24,1.27,8.66,81.2,11.64
Realistic Baseline,2025-03-01,Ethiopia,119.33,0.39,8.24,106.9,16.0
Realistic Baseline,2025-04-01,Ethiopia,119.51,0.75,8.08,108.7,13.91
Realistic Baseline,2025-05-01,Ethiopia,122.71,1.07,8.19,104.3,14.43
Realistic Baseline,2025-06-01,Ethiopia,124.48,1.51,8.3,110.1,15.71
Realistic Baseline,2025-07-01,Ethiopia,122.32,2.64,8.54,106.2,12.38
Realistic Baseline,2025-08-01,Ethiopia,120.39,2.88,8.43,101.2,15.04
Realistic Baseline,2025-09-01,Ethiopia,121.31,3.36,7.52,117.1,15.57
Realistic Baseline,2025-10-01,Ethiopia,123.7,1.86,7.59,102.4,12.54
Realistic Baseline,2025-11-01,Ethiopia,128.63,0.15,7.16,103.5,13.73
Realistic Baseline,2025-12-01,Ethiopia,130.54,2.05,6.73,114.7,11.87
Realistic Baseline,2026-01-01,Ethiopia,133.09,3.15,6.37,95.1,13.89
Realistic Baseline,2026-02-01,Ethiopia,138.73,1.4,6.72,100.6,15.62
Realistic Baseline,2026-03-01,Ethiopia,134.78,2.61,7.01,84.5,14.34
Realistic Baseline,2026-04-01,Ethiopia,134.91,2.23,6.77,96.5,15.73
Realistic Baseline,2026-05-01,Ethiopia,134.38,3.17,6.84,103.0,12.11
Realistic Baseline,2026-06-01,Ethiopia,135.42,0.51,6.3,107.5,15.31
Realistic Baseline,2026-07-01,Ethiopia,137.39,0.83,6.27,93.4,12.99
"Stressed / Crisis (FX shock, drought, rate spike)",2024-08-01,Kenya,128.82,2.89,5.91,107.0,19.62
"Stressed / Crisis (FX shock, drought, rate spike)",2024-09-01,Kenya,128.27,2.25,5.72,104.4,20.08
"Stressed / Crisis (FX shock, drought, rate spike)",2024-10-01,Kenya,136.13,4.92,5.68,115.9,19.84
"Stressed / Crisis (FX shock, drought, rate spike)",2024-11-01,Kenya,133.42,2.92,6.78,98.8,20.38
"Stressed / Crisis (FX shock, drought, rate spike)",2024-12-01,Kenya,139.4,4.42,7.1,97.1,20.52
"Stressed / Crisis (FX shock, drought, rate spike)",2025-01-01,Kenya,143.31,4.2,6.95,90.0,20.36
"Stressed / Crisis (FX shock, drought, rate spike)",2025-02-01,Kenya,142.71,4.49,6.61,103.8,21.34
"Stressed / Crisis (FX shock, drought, rate spike)",2025-03-01,Kenya,142.44,2.45,7.03,116.1,19.02
"Stressed / Crisis (FX shock, drought, rate spike)",2025-04-01,Kenya,137.33,3.85,6.99,111.5,21.13
"Stressed / Crisis (FX shock, drought, rate spike)",2025-05-01,Kenya,139.86,5.01,6.33,102.0,18.31
"Stressed / Crisis (FX shock, drought, rate spike)",2025-06-01,Kenya,152.72,2.63,6.3,101.1,18.78
"Stressed / Crisis (FX shock, drought, rate spike)",2025-07-01,Kenya,138.17,3.67,6.63,121.8,19.75
"Stressed / Crisis (FX shock, drought, rate spike)",2025-08-01,Kenya,149.98,2.69,5.9,113.3,20.92
"Stressed / Crisis (FX shock, drought, rate spike)",2025-09-01,Kenya,159.03,2.47,5.47,107.4,20.29
"Stressed / Crisis (FX shock, drought, rate spike)",2025-10-01,Kenya,164.71,3.37,5.8,98.1,17.81
"Stressed / Crisis (FX shock, drought, rate spike)",2025-11-01,Kenya,165.31,3.78,5.44,130.9,19.53
"Stressed / Crisis (FX shock, drought, rate spike)",2025-12-01,Kenya,186.04,3.76,5.92,96.8,18.63
"Stressed / Crisis (FX shock, drought, rate spike)",2026-01-01,Kenya,197.3,2.41,6.73,81.0,18.44
"Stressed / Crisis (FX shock, drought, rate spike)",2026-02-01,Kenya,194.04,4.88,6.66,101.5,20.71
"Stressed / Crisis (FX shock, drought, rate spike)",2026-03-01,Kenya,203.86,2.95,6.08,99.4,18.56
"Stressed / Crisis (FX shock, drought, rate spike)",2026-04-01,Kenya,208.06,3.85,5.99,113.6,17.48
"Stressed / Crisis (FX shock, drought, rate spike)",2026-05-01,Kenya,215.78,4.12,6.11,106.8,17.86
"Stressed / Crisis (FX shock, drought, rate spike)",2026-06-01,Kenya,226.2,4.58,5.8,134.1,17.72
"Stressed / Crisis (FX shock, drought, rate spike)",2026-07-01,Kenya,223.06,2.72,6.04,89.9,17.35
"Stressed / Crisis (FX shock, drought, rate spike)",2024-08-01,Uganda,3863.24,1.35,8.81,91.5,20.63
"Stressed / Crisis (FX shock, drought, rate spike)",2024-09-01,Uganda,3744.28,1.51,8.4,101.8,17.1
"Stressed / Crisis (FX shock, drought, rate spike)",2024-10-01,Uganda,3800.01,4.23,7.75,98.2,17.18
"Stressed / Crisis (FX shock, drought, rate spike)",2024-11-01,Uganda,3842.9,3.02,7.96,78.4,19.58
"Stressed / Crisis (FX shock, drought, rate spike)",2024-12-01,Uganda,4050.13,3.08,7.79,79.9,21.5
"Stressed / Crisis (FX shock, drought, rate spike)",2025-01-01,Uganda,4143.64,5.21,8.06,88.3,20.53
"Stressed / Crisis (FX shock, drought, rate spike)",2025-02-01,Uganda,4145.31,3.25,7.95,107.3,19.61
"Stressed / Crisis (FX shock, drought, rate spike)",2025-03-01,Uganda,3970.97,2.08,8.31,108.7,21.11
"Stressed / Crisis (FX shock, drought, rate spike)",2025-04-01,Uganda,3872.81,4.73,7.62,102.6,16.94
"Stressed / Crisis (FX shock, drought, rate spike)",2025-05-01,Uganda,3975.13,2.95,7.41,79.9,18.49
"Stressed / Crisis (FX shock, drought, rate spike)",2025-06-01,Uganda,4343.17,3.86,7.45,97.2,19.32
"Stressed / Crisis (FX shock, drought, rate spike)",2025-07-01,Uganda,4398.94,2.53,7.77,68.1,18.05
"Stressed / Crisis (FX shock, drought, rate spike)",2025-08-01,Uganda,4421.9,3.3,7.7,105.3,19.02
"Stressed / Crisis (FX shock, drought, rate spike)",2025-09-01,Uganda,4404.16,1.84,7.99,97.3,19.25
"Stressed / Crisis (FX shock, drought, rate spike)",2025-10-01,Uganda,4389.19,3.06,8.51,99.2,18.94
"Stressed / Crisis (FX shock, drought, rate spike)",2025-11-01,Uganda,4171.42,2.82,8.83,128.7,17.17
"Stressed / Crisis (FX shock, drought, rate spike)",2025-12-01,Uganda,4169.07,4.24,8.03,85.7,20.44
"Stressed / Crisis (FX shock, drought, rate spike)",2026-01-01,Uganda,4107.75,2.65,8.48,93.1,16.87
"Stressed / Crisis (FX shock, drought, rate spike)",2026-02-01,Uganda,4341.44,4.45,8.71,94.0,20.05
"Stressed / Crisis (FX shock, drought, rate spike)",2026-03-01,Uganda,4331.07,2.36,7.51,86.5,19.09
"Stressed / Crisis (FX shock, drought, rate spike)",2026-04-01,Uganda,4401.6,2.68,7.86,89.3,20.75
"Stressed / Crisis (FX shock, drought, rate spike)",2026-05-01,Uganda,4569.02,3.47,8.98,104.8,19.14
"Stressed / Crisis (FX shock, drought, rate spike)",2026-06-01,Uganda,4721.09,3.33,10.47,100.6,18.44
"Stressed / Crisis (FX shock, drought, rate spike)",2026-07-01,Uganda,4561.51,3.8,10.19,97.0,20.68
"Stressed / Crisis (FX shock, drought, rate spike)",2024-08-01,Ghana,15.41,2.78,7.57,103.8,20.67
"Stressed / Crisis (FX shock, drought, rate spike)",2024-09-01,Ghana,15.86,3.85,7.31,100.4,20.74
"Stressed / Crisis (FX shock, drought, rate spike)",2024-10-01,Ghana,16.33,3.66,7.59,113.3,19.31
"Stressed / Crisis (FX shock, drought, rate spike)",2024-11-01,Ghana,16.19,4.52,8.19,105.6,17.12
"Stressed / Crisis (FX shock, drought, rate spike)",2024-12-01,Ghana,16.94,2.65,8.19,111.4,19.45
"Stressed / Crisis (FX shock, drought, rate spike)",2025-01-01,Ghana,17.29,3.5,7.46,113.8,21.21
"Stressed / Crisis (FX shock, drought, rate spike)",2025-02-01,Ghana,17.45,5.19,7.4,109.8,21.44
"Stressed / Crisis (FX shock, drought, rate spike)",2025-03-01,Ghana,17.43,1.98,7.35,105.5,17.59
"Stressed / Crisis (FX shock, drought, rate spike)",2025-04-01,Ghana,17.88,2.69,7.15,107.8,16.85
"Stressed / Crisis (FX shock, drought, rate spike)",2025-05-01,Ghana,18.4,4.07,6.95,103.3,18.96
"Stressed / Crisis (FX shock, drought, rate spike)",2025-06-01,Ghana,18.8,4.46,6.01,117.2,16.94
"Stressed / Crisis (FX shock, drought, rate spike)",2025-07-01,Ghana,19.56,3.7,6.19,101.1,17.13
"Stressed / Crisis (FX shock, drought, rate spike)",2025-08-01,Ghana,18.72,2.41,7.1,83.9,20.81
"Stressed / Crisis (FX shock, drought, rate spike)",2025-09-01,Ghana,17.85,2.76,6.84,95.0,16.77
"Stressed / Crisis (FX shock, drought, rate spike)",2025-10-01,Ghana,18.2,4.6,6.59,87.3,20.43
"Stressed / Crisis (FX shock, drought, rate spike)",2025-11-01,Ghana,18.69,4.2,6.16,111.6,16.67
"Stressed / Crisis (FX shock, drought, rate spike)",2025-12-01,Ghana,18.43,3.94,6.62,101.0,17.92
"Stressed / Crisis (FX shock, drought, rate spike)",2026-01-01,Ghana,18.97,4.39,6.53,85.1,18.13
"Stressed / Crisis (FX shock, drought, rate spike)",2026-02-01,Ghana,18.09,2.8,6.48,104.3,19.84
"Stressed / Crisis (FX shock, drought, rate spike)",2026-03-01,Ghana,18.07,2.78,5.86,97.6,16.58
"Stressed / Crisis (FX shock, drought, rate spike)",2026-04-01,Ghana,18.83,4.82,5.94,65.0,19.82
"Stressed / Crisis (FX shock, drought, rate spike)",2026-05-01,Ghana,18.96,5.16,6.23,87.6,20.16
"Stressed / Crisis (FX shock, drought, rate spike)",2026-06-01,Ghana,19.08,3.22,6.65,103.7,19.82
"Stressed / Crisis (FX shock, drought, rate spike)",2026-07-01,Ghana,19.93,2.04,7.58,104.1,20.92
"Stressed / Crisis (FX shock, drought, rate spike)",2024-08-01,Ethiopia,115.51,3.28,5.96,116.3,16.99
"Stressed / Crisis (FX shock, drought, rate spike)",2024-09-01,Ethiopia,124.76,4.57,6.65,88.9,18.4
"Stressed / Crisis (FX shock, drought, rate spike)",2024-10-01,Ethiopia,127.74,2.77,6.1,88.3,20.97
"Stressed / Crisis (FX shock, drought, rate spike)",2024-11-01,Ethiopia,130.25,4.78,6.48,93.3,17.62
"Stressed / Crisis (FX shock, drought, rate spike)",2024-12-01,Ethiopia,134.1,3.94,6.56,100.4,21.22
"Stressed / Crisis (FX shock, drought, rate spike)",2025-01-01,Ethiopia,134.91,4.74,6.49,92.1,16.72
"Stressed / Crisis (FX shock, drought, rate spike)",2025-02-01,Ethiopia,140.03,3.51,6.41,124.0,18.14
"Stressed / Crisis (FX shock, drought, rate spike)",2025-03-01,Ethiopia,130.34,3.58,6.75,103.8,16.7
"Stressed / Crisis (FX shock, drought, rate spike)",2025-04-01,Ethiopia,133.18,3.89,6.48,122.6,21.42
"Stressed / Crisis (FX shock, drought, rate spike)",2025-05-01,Ethiopia,136.18,3.44,6.52,72.4,19.3
"Stressed / Crisis (FX shock, drought, rate spike)",2025-06-01,Ethiopia,137.3,4.15,6.4,103.0,18.1
"Stressed / Crisis (FX shock, drought, rate spike)",2025-07-01,Ethiopia,130.38,4.01,4.87,113.8,17.67
"Stressed / Crisis (FX shock, drought, rate spike)",2025-08-01,Ethiopia,133.15,4.95,4.94,104.0,18.13
"Stressed / Crisis (FX shock, drought, rate spike)",2025-09-01,Ethiopia,136.14,1.59,4.87,93.7,19.58
"Stressed / Crisis (FX shock, drought, rate spike)",2025-10-01,Ethiopia,136.42,4.99,5.93,121.4,21.13
"Stressed / Crisis (FX shock, drought, rate spike)",2025-11-01,Ethiopia,139.96,3.79,5.82,105.6,17.19
"Stressed / Crisis (FX shock, drought, rate spike)",2025-12-01,Ethiopia,142.99,3.41,6.25,78.6,19.54
"Stressed / Crisis (FX shock, drought, rate spike)",2026-01-01,Ethiopia,146.45,1.94,6.58,112.1,21.34
"Stressed / Crisis (FX shock, drought, rate spike)",2026-02-01,Ethiopia,146.93,4.58,6.71,93.6,18.57
"Stressed / Crisis (FX shock, drought, rate spike)",2026-03-01,Ethiopia,148.45,3.78,5.42,94.6,16.95
"Stressed / Crisis (FX shock, drought, rate spike)",2026-04-01,Ethiopia,148.21,4.31,5.3,87.7,20.17
"Stressed / Crisis (FX shock, drought, rate spike)",2026-05-01,Ethiopia,156.38,3.84,4.87,95.8,17.77
"Stressed / Crisis (FX shock, drought, rate spike)",2026-06-01,Ethiopia,162.65,2.68,4.42,103.0,19.22
"Stressed / Crisis (FX shock, drought, rate spike)",2026-07-01,Ethiopia,168.29,3.5,3.97,81.4,18.43
