environment,company_id,month,amount_due_usd,amount_paid_usd,days_late,payment_status
Stable Market,OXC-008,2026-02-01,15885.0,15885.0,5,Late
Stable Market,OXC-008,2026-03-01,15885.0,15885.0,0,On Time
Stable Market,OXC-008,2026-04-01,15885.0,15885.0,0,On Time
Stable Market,OXC-008,2026-05-01,15885.0,15885.0,0,On Time
Stable Market,OXC-008,2026-06-01,15885.0,15885.0,0,On Time
Stable Market,OXC-008,2026-07-01,15885.0,15885.0,0,On Time
Stable Market,OXC-009,2024-08-01,18675.0,18675.0,0,On Time
Stable Market,OXC-009,2024-09-01,18675.0,18675.0,0,On Time
Stable Market,OXC-009,2024-10-01,18675.0,18675.0,0,On Time
Stable Market,OXC-009,2024-11-01,18675.0,18675.0,0,On Time
Stable Market,OXC-009,2024-12-01,18675.0,18675.0,4,Late
Stable Market,OXC-009,2025-01-01,18675.0,18675.0,0,On Time
Stable Market,OXC-009,2025-02-01,18675.0,18675.0,0,On Time
Stable Market,OXC-009,2025-03-01,18675.0,18675.0,0,On Time
Stable Market,OXC-009,2025-04-01,18675.0,18675.0,18,Late
Stable Market,OXC-009,2025-05-01,18675.0,18675.0,16,Late
Stable Market,OXC-009,2025-06-01,18675.0,18675.0,0,On Time
Stable Market,OXC-009,2025-07-01,18675.0,18675.0,0,On Time
Stable Market,OXC-009,2025-08-01,18675.0,18675.0,0,On Time
Stable Market,OXC-009,2025-09-01,18675.0,18675.0,27,Late
Stable Market,OXC-009,2025-10-01,18675.0,11702.0,38,Partial/Default Risk
Stable Market,OXC-009,2025-11-01,18675.0,18675.0,28,Late
Stable Market,OXC-009,2025-12-01,18675.0,13958.0,40,Partial/Default Risk
Stable Market,OXC-009,2026-01-01,18675.0,16652.0,42,Partial/Default Risk
Stable Market,OXC-009,2026-02-01,18675.0,7015.0,49,Partial/Default Risk
Stable Market,OXC-009,2026-03-01,18675.0,7426.0,54,Partial/Default Risk
Stable Market,OXC-009,2026-04-01,18675.0,18675.0,0,On Time
Stable Market,OXC-009,2026-05-01,18675.0,13244.0,49,Partial/Default Risk
Stable Market,OXC-009,2026-06-01,18675.0,15081.0,47,Partial/Default Risk
Stable Market,OXC-009,2026-07-01,18675.0,14829.0,61,Partial/Default Risk
Stable Market,OXC-011,2024-08-01,26775.0,26775.0,0,On Time
Stable Market,OXC-011,2024-09-01,26775.0,26775.0,0,On Time
Stable Market,OXC-011,2024-10-01,26775.0,26775.0,1,Late
Stable Market,OXC-011,2024-11-01,26775.0,26775.0,4,Late
Stable Market,OXC-011,2024-12-01,26775.0,26775.0,0,On Time
Stable Market,OXC-011,2025-01-01,26775.0,26775.0,0,On Time
Stable Market,OXC-011,2025-02-01,26775.0,26775.0,0,On Time
Stable Market,OXC-011,2025-03-01,26775.0,26775.0,0,On Time
Stable Market,OXC-011,2025-04-01,26775.0,26775.0,0,On Time
Stable Market,OXC-011,2025-05-01,26775.0,26775.0,0,On Time
Stable Market,OXC-011,2025-06-01,26775.0,26775.0,0,On Time
Stable Market,OXC-011,2025-07-01,26775.0,26775.0,0,On Time
Stable Market,OXC-011,2025-08-01,26775.0,26775.0,0,On Time
Stable Market,OXC-011,2025-09-01,26775.0,26775.0,2,Late
Stable Market,OXC-011,2025-10-01,26775.0,26775.0,0,On Time
Stable Market,OXC-011,2025-11-01,26775.0,26775.0,0,On Time
Stable Market,OXC-011,2025-12-01,26775.0,26775.0,0,On Time
Stable Market,OXC-011,2026-01-01,26775.0,26775.0,0,On Time
Stable Market,OXC-011,2026-02-01,26775.0,26775.0,8,Late
Stable Market,OXC-011,2026-03-01,26775.0,26775.0,0,On Time
Stable Market,OXC-011,2026-04-01,26775.0,26775.0,0,On Time
Stable Market,OXC-011,2026-05-01,26775.0,26775.0,0,On Time
Stable Market,OXC-011,2026-06-01,26775.0,26775.0,0,On Time
Stable Market,OXC-011,2026-07-01,26775.0,26775.0,0,On Time
Stable Market,OXC-012,2024-08-01,21645.0,21645.0,0,On Time
Stable Market,OXC-012,2024-09-01,21645.0,21645.0,6,Late
Stable Market,OXC-012,2024-10-01,21645.0,21645.0,0,On Time
Stable Market,OXC-012,2024-11-01,21645.0,21645.0,0,On Time
Stable Market,OXC-012,2024-12-01,21645.0,21645.0,0,On Time
Stable Market,OXC-012,2025-01-01,21645.0,21645.0,0,On Time
Stable Market,OXC-012,2025-02-01,21645.0,21645.0,0,On Time
Stable Market,OXC-012,2025-03-01,21645.0,21645.0,0,On Time
Stable Market,OXC-012,2025-04-01,21645.0,21645.0,0,On Time
Stable Market,OXC-012,2025-05-01,21645.0,21645.0,0,On Time
Stable Market,OXC-012,2025-06-01,21645.0,21645.0,0,On Time
Stable Market,OXC-012,2025-07-01,21645.0,21645.0,4,Late
Stable Market,OXC-012,2025-08-01,21645.0,21645.0,0,On Time
Stable Market,OXC-012,2025-09-01,21645.0,21645.0,0,On Time
Stable Market,OXC-012,2025-10-01,21645.0,21645.0,0,On Time
Stable Market,OXC-012,2025-11-01,21645.0,21645.0,0,On Time
Stable Market,OXC-012,2025-12-01,21645.0,21645.0,0,On Time
Stable Market,OXC-012,2026-01-01,21645.0,21645.0,0,On Time
Stable Market,OXC-012,2026-02-01,21645.0,21645.0,0,On Time
Stable Market,OXC-012,2026-03-01,21645.0,21645.0,0,On Time
Stable Market,OXC-012,2026-04-01,21645.0,21645.0,0,On Time
Stable Market,OXC-012,2026-05-01,21645.0,21645.0,0,On Time
Stable Market,OXC-012,2026-06-01,21645.0,21645.0,0,On Time
Stable Market,OXC-012,2026-07-01,21645.0,21645.0,0,On Time
Stable Market,OXC-013,2024-08-01,17820.0,17820.0,0,On Time
Stable Market,OXC-013,2024-09-01,17820.0,17820.0,0,On Time
Stable Market,OXC-013,2024-10-01,17820.0,17820.0,0,On Time
Stable Market,OXC-013,2024-11-01,17820.0,17820.0,0,On Time
Stable Market,OXC-013,2024-12-01,17820.0,17820.0,0,On Time
Stable Market,OXC-013,2025-01-01,17820.0,17820.0,0,On Time
Stable Market,OXC-013,2025-02-01,17820.0,17820.0,0,On Time
Stable Market,OXC-013,2025-03-01,17820.0,17820.0,0,On Time
Stable Market,OXC-013,2025-04-01,17820.0,17820.0,0,On Time
Stable Market,OXC-013,2025-05-01,17820.0,17820.0,0,On Time
Stable Market,OXC-013,2025-06-01,17820.0,17820.0,0,On Time
Stable Market,OXC-013,2025-07-01,17820.0,17820.0,0,On Time
Stable Market,OXC-013,2025-08-01,17820.0,17820.0,0,On Time
Stable Market,OXC-013,2025-09-01,17820.0,17820.0,0,On Time
Stable Market,OXC-013,2025-10-01,17820.0,17820.0,0,On Time
Stable Market,OXC-013,2025-11-01,17820.0,17820.0,0,On Time
Stable Market,OXC-013,2025-12-01,17820.0,17820.0,0,On Time
Stable Market,OXC-013,2026-01-01,17820.0,17820.0,0,On Time
Stable Market,OXC-013,2026-02-01,17820.0,17820.0,0,On Time
Stable Market,OXC-013,2026-03-01,17820.0,17820.0,0,On Time
Stable Market,OXC-013,2026-04-01,17820.0,17820.0,0,On Time
Stable Market,OXC-013,2026-05-01,17820.0,17820.0,0,On Time
Stable Market,OXC-013,2026-06-01,17820.0,17820.0,0,On Time
Stable Market,OXC-013,2026-07-01,17820.0,17820.0,0,On Time
Stable Market,OXC-015,2024-08-01,23400.0,23400.0,0,On Time
Stable Market,OXC-015,2024-09-01,23400.0,23400.0,0,On Time
Stable Market,OXC-015,2024-10-01,23400.0,23400.0,0,On Time
Stable Market,OXC-015,2024-11-01,23400.0,23400.0,0,On Time
Stable Market,OXC-015,2024-12-01,23400.0,23400.0,0,On Time
Stable Market,OXC-015,2025-01-01,23400.0,23400.0,0,On Time
Stable Market,OXC-015,2025-02-01,23400.0,23400.0,0,On Time
Stable Market,OXC-015,2025-03-01,23400.0,23400.0,0,On Time
Stable Market,OXC-015,2025-04-01,23400.0,23400.0,0,On Time
Stable Market,OXC-015,2025-05-01,23400.0,23400.0,0,On Time
Stable Market,OXC-015,2025-06-01,23400.0,23400.0,0,On Time
Stable Market,OXC-015,2025-07-01,23400.0,23400.0,0,On Time
Stable Market,OXC-015,2025-08-01,23400.0,23400.0,0,On Time
Stable Market,OXC-015,2025-09-01,23400.0,23400.0,0,On Time
Stable Market,OXC-015,2025-10-01,23400.0,23400.0,0,On Time
Stable Market,OXC-015,2025-11-01,23400.0,23400.0,0,On Time
Stable Market,OXC-015,2025-12-01,23400.0,23400.0,0,On Time
Stable Market,OXC-015,2026-01-01,23400.0,23400.0,0,On Time
Stable Market,OXC-015,2026-02-01,23400.0,23400.0,15,Late
Stable Market,OXC-015,2026-03-01,23400.0,23400.0,0,On Time
Stable Market,OXC-015,2026-04-01,23400.0,23400.0,0,On Time
Stable Market,OXC-015,2026-05-01,23400.0,23400.0,0,On Time
Stable Market,OXC-015,2026-06-01,23400.0,23400.0,0,On Time
Stable Market,OXC-015,2026-07-01,23400.0,23400.0,0,On Time
Realistic Baseline,OXC-002,2024-08-01,13950.0,13950.0,0,On Time
Realistic Baseline,OXC-002,2024-09-01,13950.0,13950.0,0,On Time
Realistic Baseline,OXC-002,2024-10-01,13950.0,13950.0,0,On Time
Realistic Baseline,OXC-002,2024-11-01,13950.0,13950.0,0,On Time
Realistic Baseline,OXC-002,2024-12-01,13950.0,13950.0,0,On Time
Realistic Baseline,OXC-002,2025-01-01,13950.0,13950.0,0,On Time
Realistic Baseline,OXC-002,2025-02-01,13950.0,13950.0,0,On Time
Realistic Baseline,OXC-002,2025-03-01,13950.0,13950.0,0,On Time
Realistic Baseline,OXC-002,2025-04-01,13950.0,13950.0,0,On Time
Realistic Baseline,OXC-002,2025-05-01,13950.0,13950.0,0,On Time
Realistic Baseline,OXC-002,2025-06-01,13950.0,13950.0,0,On Time
Realistic Baseline,OXC-002,2025-07-01,13950.0,13950.0,0,On Time
Realistic Baseline,OXC-002,2025-08-01,13950.0,13950.0,0,On Time
Realistic Baseline,OXC-002,2025-09-01,13950.0,13950.0,0,On Time
Realistic Baseline,OXC-002,2025-10-01,13950.0,13950.0,0,On Time
Realistic Baseline,OXC-002,2025-11-01,13950.0,13950.0,0,On Time
Realistic Baseline,OXC-002,2025-12-01,13950.0,13950.0,0,On Time
Realistic Baseline,OXC-002,2026-01-01,13950.0,13950.0,0,On Time
Realistic Baseline,OXC-002,2026-02-01,13950.0,13950.0,0,On Time
Realistic Baseline,OXC-002,2026-03-01,13950.0,13950.0,0,On Time
Realistic Baseline,OXC-002,2026-04-01,13950.0,13950.0,0,On Time
Realistic Baseline,OXC-002,2026-05-01,13950.0,13950.0,0,On Time
Realistic Baseline,OXC-002,2026-06-01,13950.0,13950.0,0,On Time
Realistic Baseline,OXC-002,2026-07-01,13950.0,13950.0,0,On Time
Realistic Baseline,OXC-003,2024-08-01,26820.0,26820.0,0,On Time
Realistic Baseline,OXC-003,2024-09-01,26820.0,26820.0,0,On Time
Realistic Baseline,OXC-003,2024-10-01,26820.0,26820.0,0,On Time
Realistic Baseline,OXC-003,2024-11-01,26820.0,26820.0,0,On Time
Realistic Baseline,OXC-003,2024-12-01,26820.0,26820.0,0,On Time
Realistic Baseline,OXC-003,2025-01-01,26820.0,26820.0,0,On Time
Realistic Baseline,OXC-003,2025-02-01,26820.0,26820.0,0,On Time
Realistic Baseline,OXC-003,2025-03-01,26820.0,26820.0,0,On Time
Realistic Baseline,OXC-003,2025-04-01,26820.0,26820.0,0,On Time
Realistic Baseline,OXC-003,2025-05-01,26820.0,26820.0,0,On Time
Realistic Baseline,OXC-003,2025-06-01,26820.0,26820.0,0,On Time
Realistic Baseline,OXC-003,2025-07-01,26820.0,26820.0,0,On Time
Realistic Baseline,OXC-003,2025-08-01,26820.0,26820.0,0,On Time
Realistic Baseline,OXC-003,2025-09-01,26820.0,26820.0,10,Late
Realistic Baseline,OXC-003,2025-10-01,26820.0,26820.0,0,On Time
Realistic Baseline,OXC-003,2025-11-01,26820.0,26820.0,18,Late
Realistic Baseline,OXC-003,2025-12-01,26820.0,26820.0,0,On Time
Realistic Baseline,OXC-003,2026-01-01,26820.0,26820.0,16,Late
Realistic Baseline,OXC-003,2026-02-01,26820.0,15733.0,30,Partial/Default Risk
Realistic Baseline,OXC-003,2026-03-01,26820.0,26820.0,29,Late
Realistic Baseline,OXC-003,2026-04-01,26820.0,26820.0,26,Late
Realistic Baseline,OXC-003,2026-05-01,26820.0,26820.0,26,Late
Realistic Baseline,OXC-003,2026-06-01,26820.0,14045.0,30,Partial/Default Risk
Realistic Baseline,OXC-003,2026-07-01,26820.0,26820.0,0,On Time
Realistic Baseline,OXC-004,2024-08-01,14805.0,14805.0,0,On Time
Realistic Baseline,OXC-004,2024-09-01,14805.0,14805.0,0,On Time
Realistic Baseline,OXC-004,2024-10-01,14805.0,14805.0,0,On Time
Realistic Baseline,OXC-004,2024-11-01,14805.0,14805.0,0,On Time
Realistic Baseline,OXC-004,2024-12-01,14805.0,14805.0,0,On Time
Realistic Baseline,OXC-004,2025-01-01,14805.0,14805.0,0,On Time
Realistic Baseline,OXC-004,2025-02-01,14805.0,14805.0,0,On Time
Realistic Baseline,OXC-004,2025-03-01,14805.0,14805.0,0,On Time
Realistic Baseline,OXC-004,2025-04-01,14805.0,14805.0,0,On Time
Realistic Baseline,OXC-004,2025-05-01,14805.0,14805.0,0,On Time
Realistic Baseline,OXC-004,2025-06-01,14805.0,14805.0,0,On Time
Realistic Baseline,OXC-004,2025-07-01,14805.0,14805.0,0,On Time
Realistic Baseline,OXC-004,2025-08-01,14805.0,14805.0,14,Late
Realistic Baseline,OXC-004,2025-09-01,14805.0,14805.0,0,On Time
Realistic Baseline,OXC-004,2025-10-01,14805.0,14805.0,16,Late
Realistic Baseline,OXC-004,2025-11-01,14805.0,14805.0,19,Late
Realistic Baseline,OXC-004,2025-12-01,14805.0,14805.0,0,On Time
Realistic Baseline,OXC-004,2026-01-01,14805.0,7505.0,30,Partial/Default Risk
Realistic Baseline,OXC-004,2026-02-01,14805.0,14805.0,26,Late
Realistic Baseline,OXC-004,2026-03-01,14805.0,14805.0,25,Late
Realistic Baseline,OXC-004,2026-04-01,14805.0,14805.0,0,On Time
Realistic Baseline,OXC-004,2026-05-01,14805.0,12687.0,32,Partial/Default Risk
Realistic Baseline,OXC-004,2026-06-01,14805.0,14805.0,0,On Time
Realistic Baseline,OXC-004,2026-07-01,14805.0,14805.0,0,On Time
Realistic Baseline,OXC-006,2024-08-01,20565.0,20565.0,0,On Time
Realistic Baseline,OXC-006,2024-09-01,20565.0,20565.0,0,On Time
Realistic Baseline,OXC-006,2024-10-01,20565.0,20565.0,0,On Time
Realistic Baseline,OXC-006,2024-11-01,20565.0,20565.0,0,On Time
Realistic Baseline,OXC-006,2024-12-01,20565.0,20565.0,0,On Time
Realistic Baseline,OXC-006,2025-01-01,20565.0,20565.0,0,On Time
Realistic Baseline,OXC-006,2025-02-01,20565.0,20565.0,0,On Time
Realistic Baseline,OXC-006,2025-03-01,20565.0,20565.0,0,On Time
Realistic Baseline,OXC-006,2025-04-01,20565.0,20565.0,0,On Time
Realistic Baseline,OXC-006,2025-05-01,20565.0,20565.0,0,On Time
Realistic Baseline,OXC-006,2025-06-01,20565.0,20565.0,0,On Time
Realistic Baseline,OXC-006,2025-07-01,20565.0,20565.0,12,Late
Realistic Baseline,OXC-006,2025-08-01,20565.0,20565.0,9,Late
Realistic Baseline,OXC-006,2025-09-01,20565.0,20565.0,0,On Time
Realistic Baseline,OXC-006,2025-10-01,20565.0,20565.0,20,Late
Realistic Baseline,OXC-006,2025-11-01,20565.0,20565.0,21,Late
Realistic Baseline,OXC-006,2025-12-01,20565.0,20565.0,19,Late
Realistic Baseline,OXC-006,2026-01-01,20565.0,7529.0,30,Partial/Default Risk
Realistic Baseline,OXC-006,2026-02-01,20565.0,20565.0,25,Late
Realistic Baseline,OXC-006,2026-03-01,20565.0,20565.0,26,Late
Realistic Baseline,OXC-006,2026-04-01,20565.0,11405.0,43,Partial/Default Risk
Realistic Baseline,OXC-006,2026-05-01,20565.0,20565.0,26,Late
Realistic Baseline,OXC-006,2026-06-01,20565.0,7849.0,34,Partial/Default Risk
Realistic Baseline,OXC-006,2026-07-01,20565.0,20565.0,0,On Time
Realistic Baseline,OXC-007,2024-08-01,16290.0,16290.0,0,On Time
Realistic Baseline,OXC-007,2024-09-01,16290.0,16290.0,0,On Time
Realistic Baseline,OXC-007,2024-10-01,16290.0,16290.0,0,On Time
