environment,company_id,month,revenue_usd,cogs_usd,gross_margin_pct,opex_usd,ebitda_usd,cash_balance_usd,accounts_receivable_days,accounts_payable_days,inventory_turnover_days
Stable Market,OXC-006,2026-03-01,124909.0,83857.0,0.329,22933.0,18118.0,209736.0,34.6,30.0,31.6
Stable Market,OXC-006,2026-04-01,120646.0,76994.0,0.362,24025.0,19627.0,222782.0,31.2,34.1,40.5
Stable Market,OXC-006,2026-05-01,124211.0,85800.0,0.309,22536.0,15875.0,233520.0,29.6,46.5,29.4
Stable Market,OXC-006,2026-06-01,118199.0,79066.0,0.331,22318.0,16816.0,236062.0,30.9,27.7,29.7
Stable Market,OXC-006,2026-07-01,132536.0,92697.0,0.301,21559.0,18281.0,238984.0,32.6,48.2,33.5
Stable Market,OXC-007,2024-08-01,69438.0,47791.0,0.312,10169.0,11478.0,255857.0,46.1,44.4,42.9
Stable Market,OXC-007,2024-09-01,66805.0,47558.0,0.288,13321.0,5926.0,263111.0,44.6,49.5,29.2
Stable Market,OXC-007,2024-10-01,62224.0,44221.0,0.289,7511.0,10492.0,266025.0,47.0,38.9,37.5
Stable Market,OXC-007,2024-11-01,68274.0,49673.0,0.272,10878.0,7722.0,274035.0,46.6,47.7,37.9
Stable Market,OXC-007,2024-12-01,70097.0,53901.0,0.231,9301.0,6895.0,275212.0,47.4,33.9,29.4
Stable Market,OXC-007,2025-01-01,67515.0,51767.0,0.233,10030.0,5717.0,279186.0,43.5,25.1,22.8
Stable Market,OXC-007,2025-02-01,67092.0,48101.0,0.283,14388.0,4602.0,280640.0,42.1,34.1,27.5
Stable Market,OXC-007,2025-03-01,73943.0,58644.0,0.207,9913.0,5386.0,283375.0,43.6,40.2,36.3
Stable Market,OXC-007,2025-04-01,67670.0,52032.0,0.231,11008.0,4629.0,288215.0,44.0,40.4,33.9
Stable Market,OXC-007,2025-05-01,77089.0,59427.0,0.229,10673.0,6989.0,288408.0,45.2,34.2,30.2
Stable Market,OXC-007,2025-06-01,75120.0,56582.0,0.247,11591.0,6947.0,289808.0,48.2,36.6,30.4
Stable Market,OXC-007,2025-07-01,75151.0,54725.0,0.272,13705.0,6721.0,288578.0,48.9,36.5,44.3
Stable Market,OXC-007,2025-08-01,79386.0,58030.0,0.269,13784.0,7571.0,292118.0,45.1,28.4,29.7
Stable Market,OXC-007,2025-09-01,76693.0,57710.0,0.248,11394.0,7589.0,294818.0,39.0,40.5,38.4
Stable Market,OXC-007,2025-10-01,85261.0,60342.0,0.292,10564.0,14355.0,305807.0,40.1,49.8,38.7
Stable Market,OXC-007,2025-11-01,78976.0,59082.0,0.252,11825.0,8070.0,307075.0,36.6,38.5,33.8
Stable Market,OXC-007,2025-12-01,86929.0,64092.0,0.263,12549.0,10288.0,314169.0,36.8,27.1,25.2
Stable Market,OXC-007,2026-01-01,77599.0,55655.0,0.283,16792.0,5152.0,314397.0,35.8,39.4,44.9
Stable Market,OXC-007,2026-02-01,79151.0,59507.0,0.248,12224.0,7419.0,314176.0,36.4,41.6,26.3
Stable Market,OXC-007,2026-03-01,76487.0,57101.0,0.253,12253.0,7133.0,318532.0,34.4,36.0,44.5
Stable Market,OXC-007,2026-04-01,80248.0,60462.0,0.247,10575.0,9211.0,314591.0,40.3,31.8,26.6
Stable Market,OXC-007,2026-05-01,75152.0,57589.0,0.234,15587.0,1976.0,316863.0,39.9,41.2,36.3
Stable Market,OXC-007,2026-06-01,79730.0,58617.0,0.265,9869.0,11244.0,327574.0,39.0,34.7,20.8
Stable Market,OXC-007,2026-07-01,74449.0,56619.0,0.239,12474.0,5356.0,330112.0,39.4,32.2,35.7
Stable Market,OXC-008,2024-08-01,204343.0,150414.0,0.264,40567.0,13361.0,69424.0,27.8,26.5,36.8
Stable Market,OXC-008,2024-09-01,200766.0,157926.0,0.213,39336.0,3505.0,60725.0,29.7,36.7,41.8
Stable Market,OXC-008,2024-10-01,207040.0,150920.0,0.271,36244.0,19876.0,67862.0,27.4,42.8,35.4
Stable Market,OXC-008,2024-11-01,195927.0,144441.0,0.263,39507.0,11979.0,67800.0,28.2,31.3,31.4
Stable Market,OXC-008,2024-12-01,194481.0,152364.0,0.217,25466.0,16652.0,74525.0,29.8,41.7,29.4
Stable Market,OXC-008,2025-01-01,205620.0,151693.0,0.262,43374.0,10552.0,76108.0,32.6,41.5,39.3
Stable Market,OXC-008,2025-02-01,209410.0,152039.0,0.274,36983.0,20388.0,77453.0,34.0,49.1,31.3
Stable Market,OXC-008,2025-03-01,216506.0,164624.0,0.24,32679.0,19202.0,85019.0,33.3,28.5,21.4
Stable Market,OXC-008,2025-04-01,211159.0,152335.0,0.279,32762.0,26062.0,94384.0,32.7,35.5,37.1
Stable Market,OXC-008,2025-05-01,204605.0,155083.0,0.242,28907.0,20615.0,103348.0,32.2,35.6,38.4
Stable Market,OXC-008,2025-06-01,205077.0,156865.0,0.235,40212.0,8000.0,102658.0,32.1,36.8,35.4
Stable Market,OXC-008,2025-07-01,218382.0,159461.0,0.27,33551.0,25370.0,112715.0,32.8,31.4,42.3
Stable Market,OXC-008,2025-08-01,233079.0,173089.0,0.257,50636.0,9353.0,110796.0,33.6,25.5,27.3
Stable Market,OXC-008,2025-09-01,217226.0,165533.0,0.238,40808.0,10885.0,116998.0,34.1,35.4,36.9
Stable Market,OXC-008,2025-10-01,239946.0,178930.0,0.254,47362.0,13654.0,119127.0,33.4,40.9,21.6
Stable Market,OXC-008,2025-11-01,236590.0,177918.0,0.248,47014.0,11659.0,120154.0,33.4,28.6,41.6
Stable Market,OXC-008,2025-12-01,246314.0,183490.0,0.255,32542.0,30282.0,128416.0,33.4,43.9,30.1
Stable Market,OXC-008,2026-01-01,251898.0,185090.0,0.265,35068.0,31739.0,135382.0,33.1,36.1,32.2
Stable Market,OXC-008,2026-02-01,280175.0,216737.0,0.226,55664.0,7774.0,134210.0,33.3,29.9,32.0
Stable Market,OXC-008,2026-03-01,268786.0,192784.0,0.283,49761.0,26241.0,144044.0,34.5,29.6,40.8
Stable Market,OXC-008,2026-04-01,275671.0,202129.0,0.267,54806.0,18736.0,157498.0,32.5,42.3,26.5
Stable Market,OXC-008,2026-05-01,254963.0,194290.0,0.238,53338.0,7335.0,151003.0,32.1,35.8,39.1
Stable Market,OXC-008,2026-06-01,252563.0,195732.0,0.225,31847.0,24984.0,165195.0,32.9,32.1,22.3
Stable Market,OXC-008,2026-07-01,260859.0,190297.0,0.27,51655.0,18907.0,171071.0,33.5,33.0,42.8
Stable Market,OXC-009,2024-08-01,151925.0,118655.0,0.219,21870.0,11401.0,88157.0,47.8,36.5,25.8
Stable Market,OXC-009,2024-09-01,173065.0,138731.0,0.198,23259.0,11074.0,95622.0,50.5,31.7,31.9
Stable Market,OXC-009,2024-10-01,179968.0,140198.0,0.221,35230.0,4540.0,96594.0,50.5,47.9,34.5
Stable Market,OXC-009,2024-11-01,188745.0,145774.0,0.228,27247.0,15723.0,97656.0,52.1,54.9,38.7
Stable Market,OXC-009,2024-12-01,177590.0,145591.0,0.18,29846.0,2153.0,97886.0,54.9,56.9,44.6
Stable Market,OXC-009,2025-01-01,162106.0,134759.0,0.169,29547.0,-2200.0,91962.0,58.9,46.1,44.9
Stable Market,OXC-009,2025-02-01,135929.0,125178.0,0.079,28667.0,-17917.0,79454.0,63.7,34.7,34.1
Stable Market,OXC-009,2025-03-01,111229.0,108507.0,0.024,15640.0,-12918.0,73065.0,63.5,43.5,43.4
Stable Market,OXC-009,2025-04-01,84564.0,80228.0,0.051,12643.0,-8307.0,70712.0,60.0,41.8,41.1
Stable Market,OXC-009,2025-05-01,68618.0,67932.0,0.01,11953.0,-11267.0,60257.0,58.5,49.1,40.9
Stable Market,OXC-009,2025-06-01,43024.0,42594.0,0.01,7279.0,-6849.0,51355.0,58.5,57.8,29.1
Stable Market,OXC-009,2025-07-01,27937.0,27658.0,0.01,4399.0,-4120.0,45897.0,58.6,46.3,46.3
Stable Market,OXC-009,2025-08-01,18369.0,18186.0,0.01,3060.0,-2877.0,49699.0,58.0,50.8,34.5
Stable Market,OXC-009,2025-09-01,9765.0,9667.0,0.01,1486.0,-1388.0,49552.0,55.1,39.6,49.0
Stable Market,OXC-009,2025-10-01,4872.0,4823.0,0.01,846.0,-798.0,40802.0,56.5,37.1,48.1
Stable Market,OXC-009,2025-11-01,3000.0,2970.0,0.01,608.0,-578.0,43318.0,56.0,55.4,31.9
Stable Market,OXC-009,2025-12-01,3000.0,2970.0,0.01,643.0,-613.0,46993.0,54.7,38.9,41.1
Stable Market,OXC-009,2026-01-01,3000.0,2970.0,0.01,616.0,-586.0,53216.0,58.0,51.0,38.0
Stable Market,OXC-009,2026-02-01,3000.0,2970.0,0.01,390.0,-360.0,56215.0,58.0,43.6,44.1
Stable Market,OXC-009,2026-03-01,3000.0,2970.0,0.01,579.0,-549.0,50682.0,58.1,40.4,44.5
Stable Market,OXC-009,2026-04-01,3000.0,2970.0,0.01,590.0,-560.0,50257.0,57.9,50.8,43.4
Stable Market,OXC-009,2026-05-01,3000.0,2970.0,0.01,566.0,-536.0,57712.0,59.4,50.0,46.3
Stable Market,OXC-009,2026-06-01,3000.0,2970.0,0.01,391.0,-361.0,57833.0,58.7,52.1,46.2
Stable Market,OXC-009,2026-07-01,3000.0,2970.0,0.01,364.0,-334.0,58648.0,58.8,53.8,41.9
Stable Market,OXC-010,2024-08-01,125893.0,89558.0,0.289,25955.0,10380.0,239297.0,30.4,42.8,31.9
Stable Market,OXC-010,2024-09-01,112779.0,86515.0,0.233,23223.0,3041.0,240545.0,29.0,46.3,37.0
Stable Market,OXC-010,2024-10-01,141967.0,103411.0,0.272,24443.0,14113.0,247690.0,29.8,48.3,43.1
Stable Market,OXC-010,2024-11-01,135162.0,97892.0,0.276,25011.0,12259.0,260941.0,30.6,34.3,28.2
Stable Market,OXC-010,2024-12-01,122073.0,84775.0,0.306,17313.0,19985.0,266311.0,30.7,34.4,25.9
Stable Market,OXC-010,2025-01-01,124421.0,90527.0,0.272,27257.0,6638.0,260929.0,28.7,29.0,41.7
Stable Market,OXC-010,2025-02-01,128377.0,96112.0,0.251,17328.0,14937.0,271830.0,26.1,33.1,41.6
Stable Market,OXC-010,2025-03-01,113437.0,86873.0,0.234,15915.0,10649.0,269159.0,25.7,36.2,33.9
Stable Market,OXC-010,2025-04-01,107761.0,76334.0,0.292,19037.0,12389.0,274461.0,27.8,38.5,41.7
Stable Market,OXC-010,2025-05-01,111797.0,73944.0,0.339,18848.0,19005.0,284627.0,27.8,33.1,27.0
Stable Market,OXC-010,2025-06-01,112992.0,81197.0,0.281,21912.0,9884.0,286152.0,25.4,43.5,38.5
Stable Market,OXC-010,2025-07-01,116979.0,84351.0,0.279,22712.0,9915.0,294570.0,23.6,34.5,28.7
Stable Market,OXC-010,2025-08-01,128775.0,94925.0,0.263,16187.0,17663.0,307329.0,23.2,39.2,33.7
Stable Market,OXC-010,2025-09-01,124524.0,90282.0,0.275,21891.0,12351.0,308120.0,22.7,46.8,24.6
